"case","source","geol","fmed","noise","rep"
"geol",25,162,NA,NA,44
"analytical",NA,NA,1,1,44
"analytical",NA,NA,2,1,44
"analytical",NA,NA,1,2,44
"analytical",NA,NA,2,2,44
"analytical",NA,NA,1,3,44
"analytical",NA,NA,2,3,44
"analytical",NA,NA,1,4,44
"analytical",NA,NA,2,4,44
"geol",11,2,NA,NA,45
"geol",25,2,NA,NA,45
"geol",11,162,NA,NA,45
"geol",25,162,NA,NA,45
"analytical",NA,NA,1,1,45
"analytical",NA,NA,2,1,45
"analytical",NA,NA,1,2,45
"analytical",NA,NA,2,2,45
"analytical",NA,NA,1,3,45
"analytical",NA,NA,2,3,45
"analytical",NA,NA,1,4,45
"analytical",NA,NA,2,4,45
"geol",11,2,NA,NA,46
"geol",25,2,NA,NA,46
"geol",11,162,NA,NA,46
"geol",25,162,NA,NA,46
"analytical",NA,NA,1,1,46
"analytical",NA,NA,2,1,46
"analytical",NA,NA,1,2,46
"analytical",NA,NA,2,2,46
"analytical",NA,NA,1,3,46
"analytical",NA,NA,2,3,46
"analytical",NA,NA,1,4,46
"analytical",NA,NA,2,4,46
"geol",11,2,NA,NA,47
"geol",25,2,NA,NA,47
"geol",11,162,NA,NA,47
"geol",25,162,NA,NA,47
"analytical",NA,NA,1,1,47
"analytical",NA,NA,2,1,47
"analytical",NA,NA,1,2,47
"analytical",NA,NA,2,2,47
"analytical",NA,NA,1,3,47
"analytical",NA,NA,2,3,47
"analytical",NA,NA,1,4,47
"analytical",NA,NA,2,4,47
"geol",11,2,NA,NA,48
"geol",25,2,NA,NA,48
"geol",11,162,NA,NA,48
"geol",25,162,NA,NA,48
"analytical",NA,NA,1,1,48
"analytical",NA,NA,2,1,48
"analytical",NA,NA,1,2,48
"analytical",NA,NA,2,2,48
"analytical",NA,NA,1,3,48
"analytical",NA,NA,2,3,48
"analytical",NA,NA,1,4,48
"analytical",NA,NA,2,4,48
"geol",11,2,NA,NA,49
"geol",25,2,NA,NA,49
"geol",11,162,NA,NA,49
"geol",25,162,NA,NA,49
"analytical",NA,NA,1,1,49
"analytical",NA,NA,2,1,49
"analytical",NA,NA,1,2,49
"analytical",NA,NA,2,2,49
"analytical",NA,NA,1,3,49
"analytical",NA,NA,2,3,49
"analytical",NA,NA,1,4,49
"analytical",NA,NA,2,4,49
"geol",11,2,NA,NA,50
"geol",25,2,NA,NA,50
"geol",11,162,NA,NA,50
"geol",25,162,NA,NA,50
"analytical",NA,NA,1,1,50
"analytical",NA,NA,2,1,50
"analytical",NA,NA,1,2,50
"analytical",NA,NA,2,2,50
"analytical",NA,NA,1,3,50
"analytical",NA,NA,2,3,50
"analytical",NA,NA,1,4,50
"analytical",NA,NA,2,4,50
