"s","g","lt","lx","neglogpost"
25,162,0.15,0.15,-9299.59723804669
25,162,0.15,0.2,-9170.03980484264
25,162,0.15,0.025,-8767.10913493116
25,162,0.2,0.05,-8886.19620687485
25,162,0.2,0.075,-9063.48330994122
25,162,0.2,0.1,-9130.60468368829
25,162,0.2,0.125,-9115.45100119506
25,162,0.2,0.15,-9065.49261167884
25,162,0.2,0.2,-8943.38620155848
25,162,0.2,0.025,-8357.72976572437
25,162,0.025,0.05,-9578.20987175187
25,162,0.025,0.075,-9690.5140166368
25,162,0.025,0.1,-9720.75303084957
25,162,0.025,0.125,-9684.44276211001
25,162,0.025,0.15,-9640.69793254778
25,162,0.025,0.2,-9603.10452880257
25,162,0.025,0.025,-9314.96465857422
